id,text,anger,disgust,fear,joy,sadness,surprise,emotions,tokens,stemmed_tokens
hau_train_track_a_00001,"kotu ta yi hukunci kan shari'ar zaben dan majalisar pdp, ta yi hukuncin bazata",0,0,0,0,0,1,"('surprise',)","['kotu', 'ta', 'yi', 'hukunci', 'kan', ""shari'ar"", 'zaben', 'dan', 'majalisar', 'pdp', ',', 'ta', 'yi', 'hukuncin', 'bazata']","['kotu', 'ta', 'yi', 'hukunci', 'kan', ""shari'ar"", 'zaben', 'dan', 'majalisar', 'pdp', ',', 'ta', 'yi', 'hukuncin', 'bazata']"
hau_train_track_a_00002,"toh fah inji 'yan magana suka ce """"""""ana wata ga wata""""""""🤣😂",0,0,0,0,0,1,"('surprise',)","['toh', 'fah', 'inji', ""'yan"", 'magana', 'suka', 'ce', '``', ""''"", ""''"", ""''"", 'ana', 'wata', 'ga', 'wata', ""''"", ""''"", ""''"", ""''"", '🤣😂']","['toh', 'fah', 'inji', ""'yan"", 'magana', 'suka', 'ce', '``', ""''"", ""''"", ""''"", 'ana', 'wata', 'ga', 'wata', ""''"", ""''"", ""''"", ""''""]"
hau_train_track_a_00003,bincike ya nuna yan najeriya sun fi damuwa da rashin tsaro da talauci fiye da korona,0,0,1,0,1,0,"('fear', 'sadness')","['bincike', 'ya', 'nuna', 'yan', 'najeriya', 'sun', 'fi', 'damuwa', 'da', 'rashin', 'tsaro', 'da', 'talauci', 'fiye', 'da', 'korona']","['bincik', 'ya', 'nuna', 'yan', 'najeriya', 'sun', 'fi', 'damuwa', 'da', 'rashin', 'tsaro', 'da', 'talauci', 'fiy', 'da', 'korona']"
hau_train_track_a_00004,kwamishina ya musanta rahoton masari ya cire kusan miliyan n500m don tarban buhari,0,0,0,0,0,0,(),"['kwamishina', 'ya', 'musanta', 'rahoton', 'masari', 'ya', 'cire', 'kusan', 'miliyan', 'n500m', 'don', 'tarban', 'buhari']","['kwamishina', 'ya', 'musanta', 'rahoton', 'masari', 'ya', 'cire', 'kusan', 'miliyan', 'nm', 'don', 'tarban', 'buhari']"
hau_train_track_a_00005,innalillahi wa inna ilaihir raji'un: allah ya yi wa mahaifiyar halima atete rasuwa,0,0,0,0,1,0,"('sadness',)","['innalillahi', 'wa', 'inna', 'ilaihir', ""raji'un"", ':', 'allah', 'ya', 'yi', 'wa', 'mahaifiyar', 'halima', 'atete', 'rasuwa']","['innalillahi', 'wa', 'inna', 'ilaihir', ""raji'un"", ':', 'allah', 'ya', 'yi', 'wa', 'mahaifiyar', 'halima', 'atet', 'rasuwa']"
hau_train_track_a_00006,gsky ne wanan daman temakon allah muke so kuma atiku shine ze zama sila allah yasaka da alheri atiku up up atiku️️,0,0,0,1,0,0,"('joy',)","['gsky', 'ne', 'wanan', 'daman', 'temakon', 'allah', 'muke', 'so', 'kuma', 'atiku', 'shine', 'ze', 'zama', 'sila', 'allah', 'yasaka', 'da', 'alheri', 'atiku', 'up', 'up', 'atiku️️']","['gski', 'ne', 'wanan', 'daman', 'temakon', 'allah', 'muke', 'so', 'kuma', 'atiku', 'shine', 'ze', 'zama', 'sila', 'allah', 'yasaka', 'da', 'alheri', 'atiku', 'up', 'up', 'atiku']"
hau_train_track_a_00007,allah yasa yadawo shekanke in banda tsiya miyake tsinanawa yan nigeria🙄🙄🙄,1,0,0,0,0,0,"('anger',)","['allah', 'yasa', 'yadawo', 'shekanke', 'in', 'banda', 'tsiya', 'miyake', 'tsinanawa', 'yan', 'nigeria🙄🙄🙄']","['allah', 'yasa', 'yadawo', 'shekank', 'in', 'banda', 'tsiya', 'miyak', 'tsinanawa', 'yan', 'nigeria']"
hau_train_track_a_00008,duk abun da zakuyi wlh duniyar gaba daya sai kunbarta bama mulkin kadai ba marasa kishi kawai komai baku kirkiraras sai idan wani sha'ani na addininku yazo azzaluman ban da akayi edi dai sai munyi muga aban da zai hana mu☹️☹️☹️☹️ boss mustapha kake ko wa😞,1,0,0,0,0,0,"('anger',)","['duk', 'abun', 'da', 'zakuyi', 'wlh', 'duniyar', 'gaba', 'daya', 'sai', 'kunbarta', 'bama', 'mulkin', 'kadai', 'ba', 'marasa', 'kishi', 'kawai', 'komai', 'baku', 'kirkiraras', 'sai', 'idan', 'wani', ""sha'ani"", 'na', 'addininku', 'yazo', 'azzaluman', 'ban', 'da', 'akayi', 'edi', 'dai', 'sai', 'munyi', 'muga', 'aban', 'da', 'zai', 'hana', 'mu☹️☹️☹️☹️', 'boss', 'mustapha', 'kake', 'ko', 'wa😞']","['duk', 'abun', 'da', 'zakuyi', 'wlh', 'duniyar', 'gaba', 'daya', 'sai', 'kunbarta', 'bama', 'mulkin', 'kadai', 'ba', 'marasa', 'kishi', 'kawai', 'komai', 'baku', 'kirkirara', 'sai', 'idan', 'wani', ""sha'ani"", 'na', 'addininku', 'yazo', 'azzaluman', 'ban', 'da', 'akayi', 'edi', 'dai', 'sai', 'munyi', 'muga', 'aban', 'da', 'zai', 'hana', 'mu', 'boss', 'mustapha', 'kake', 'ko', 'wa']"
hau_train_track_a_00009,abun mamaki bata karewah,0,0,0,0,0,1,"('surprise',)","['abun', 'mamaki', 'bata', 'karewah']","['abun', 'mamaki', 'bata', 'karewah']"
hau_train_track_a_00010,ramadan: kalli yadda sarkin kano yake karatun al-qur’ani a masallacin annabi (sa.w),0,0,0,0,0,1,"('surprise',)","['ramadan', ':', 'kalli', 'yadda', 'sarkin', 'kano', 'yake', 'karatun', 'al-qur', '’', 'ani', 'a', 'masallacin', 'annabi', '(', 'sa.w', ')']","['ramadan', ':', 'kalli', 'yadda', 'sarkin', 'kano', 'yake', 'karatun', 'al-qur', '’', 'ani', 'a', 'masallacin', 'annabi', '(', 'sa.w', ')']"
